Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (7),8.802785,21,17,1,514.5876,0
Capsule (6),1.810967,16,20,0,514.5876,0
Capsule (1),0.4365953,17,13,1,514.5876,0
Capsule (5),0.5395783,21,17,1,514.5876,0
Capsule (2),2.954226,15,22,0,514.5876,1
Capsule (4),1.351115,16,18,0,514.5876,1
Capsule (3),1.831238,21,16,1,514.5876,1
Capsule,0.8754052,12,16,0,514.5876,1
1


Capsule (2),2.400593,18,14,1,478.3138,0
Capsule (6),1.953566,14,23,0,478.3138,0
Capsule (5),2.475103,18,13,1,478.3138,0
Capsule (3),1.145544,12,18,0,478.3138,0
Capsule (4),4.340673,20,19,1,478.3138,1
Capsule (7),2.236944,17,16,1,478.3138,1
Capsule (1),2.367149,20,17,1,478.3138,1
Capsule,2.397929,18,17,1,478.3138,1
2


Capsule (2),4.72266,16,12,1,468.1635,0
Capsule (6),1.213949,20,17,1,468.1635,0
Capsule (5),12.48012,13,20,0,468.1635,0
Capsule (3),0.8662143,15,17,0,468.1635,0
Capsule (4),1.48292,25,15,1,468.1635,1
Capsule (7),10.75061,11,23,0,468.1635,1
Capsule (1),0.2291574,11,19,0,468.1635,1
Capsule,1.07329,28,16,1,468.1635,1
3


Capsule (2),3.960243,15,21,0,528.1688,0
Capsule (6),0.0060222,22,15,1,528.1688,0
Capsule (5),0.8589541,19,15,1,528.1688,0
Capsule (3),0.3459083,11,23,0,528.1688,0
Capsule (4),4.278029,20,13,1,528.1688,1
Capsule (7),0.3192635,18,19,0,528.1688,1
Capsule (1),0.4528666,11,18,0,528.1688,1
Capsule,3.259255,26,18,1,528.1688,1
4


Capsule (2),0.039884,22,17,1,474.0589,0
Capsule (6),1.416252,19,14,1,474.0589,0
Capsule (5),5.564644,16,15,1,474.0589,0
Capsule (3),1.638327,18,19,0,474.0589,0
Capsule (4),17.02406,16,18,0,474.0589,1
Capsule (7),1.630354,18,24,0,474.0589,1
Capsule (1),0.1966774,14,18,0,474.0589,1
Capsule,4.341939,16,14,1,474.0589,1
5


Capsule (2),6.042295,18,19,0,466.3412,0
Capsule (6),6.989266,16,10,1,466.3412,0
Capsule (5),0.0543615,13,18,0,466.3412,0
Capsule (3),0.0109473,8,18,0,466.3412,0
Capsule (4),5.171995,22,15,1,466.3412,1
Capsule (7),0.8128619,14,16,0,466.3412,1
Capsule (1),1.542981,16,16,1,466.3412,1
Capsule,10.72098,23,18,1,466.3412,1
6


Capsule (2),6.500173,12,15,0,431.9261,0
Capsule (6),0.0170382,10,21,0,431.9261,0
Capsule (5),0.0068344,18,15,1,431.9261,0
Capsule (3),0.0114135,14,16,0,431.9261,0
Capsule (4),1.038933,16,13,1,431.9261,1
Capsule (7),0.0199898,17,15,1,431.9261,1
Capsule (1),0.0085781,20,17,1,431.9261,1
Capsule,6.691142,22,17,1,431.9261,1
7


Capsule (2),0.0211262,13,15,0,428.8009,0
Capsule (6),0.1577365,20,11,1,428.8009,0
Capsule (5),0.0065694,17,16,1,428.8009,0
Capsule (3),4.624562,25,13,1,428.8009,0
Capsule (4),3.684796,15,16,0,428.8009,1
Capsule (7),0.0063831,8,18,0,428.8009,1
Capsule (1),0.0169243,10,15,0,428.8009,1
Capsule,1.143938,10,14,0,428.8009,1
8


Capsule (2),0.064044,15,18,0,591.6982,0
Capsule (6),0.0571549,19,20,0,591.6982,0
Capsule (5),1.750556,20,20,1,591.6982,0
Capsule (3),1.043897,17,21,0,591.6982,0
Capsule (4),1.440344,16,21,0,591.6982,1
Capsule (7),2.208272,20,15,1,591.6982,1
Capsule (1),2.127038,21,16,1,591.6982,1
Capsule,4.586837,18,15,1,591.6982,1
9


Capsule (2),0.1467275,18,18,1,550.7186,0
Capsule (6),3.146584,22,18,1,550.7186,0
Capsule (5),1.378179,15,20,0,550.7186,0
Capsule (3),0.1322716,20,18,1,550.7186,0
Capsule (4),2.6476,21,18,1,550.7186,1
Capsule (7),0.9526351,19,17,1,550.7186,1
Capsule (1),1.224129,18,19,0,550.7186,1
Capsule,2.502091,14,19,0,550.7186,1
10


Capsule (2),9.927776,15,16,0,565.5361,0
Capsule (6),3.180787,11,20,0,565.5361,0
Capsule (5),1.158885,21,15,1,565.5361,0
Capsule (3),2.053739,17,17,1,565.5361,0
Capsule (4),5.457655,25,14,1,565.5361,1
Capsule (7),1.99165,12,16,0,565.5361,1
Capsule (1),5.670028,20,20,1,565.5361,1
Capsule,8.474042,18,21,0,565.5361,1
11


Capsule (2),0.4611425,17,16,1,557.4529,0
Capsule (6),0.0783964,18,18,1,557.4529,0
Capsule (5),2.77883,20,15,1,557.4529,0
Capsule (3),4.359139,18,20,0,557.4529,0
Capsule (4),10.33765,25,18,1,557.4529,1
Capsule (7),0.6546283,22,18,1,557.4529,1
Capsule (1),0.4347959,13,21,0,557.4529,1
Capsule,10.24343,15,22,0,557.4529,1
12


Capsule (2),7.559647,22,17,1,515.9484,0
Capsule (6),0.0666751,17,19,0,515.9484,0
Capsule (5),0.5996476,16,18,0,515.9484,0
Capsule (3),2.429539,17,17,1,515.9484,0
Capsule (4),0.9753418,22,20,1,515.9484,1
Capsule (7),3.319534,11,18,0,515.9484,1
Capsule (1),1.492655,19,20,0,515.9484,1
Capsule,0.1794601,23,18,1,515.9484,1
13


Capsule (2),1.979133,12,23,0,533.6921,0
Capsule (6),0.8128198,15,12,1,533.6921,0
Capsule (5),3.038494,24,15,1,533.6921,0
Capsule (3),0.5506369,21,15,1,533.6921,0
Capsule (4),0.6362942,18,18,1,533.6921,1
Capsule (7),0.3493439,24,19,1,533.6921,1
Capsule (1),2.70416,15,21,0,533.6921,1
Capsule,2.209594,18,24,0,533.6921,1
14


Capsule (2),2.587775,20,14,1,503.5945,0
Capsule (6),0.0587343,19,18,1,503.5945,0
Capsule (5),2.138415,20,16,1,503.5945,0
Capsule (3),11.31263,16,16,1,503.5945,0
Capsule (4),0.2088398,14,20,0,503.5945,1
Capsule (7),2.757984,14,19,0,503.5945,1
Capsule (1),0.7763962,21,19,1,503.5945,1
Capsule,1.735549,15,17,0,503.5945,1
15


Capsule (2),1.515072,13,17,0,481.5081,0
Capsule (6),8.96819,21,21,1,481.5081,0
Capsule (5),0.6226572,19,16,1,481.5081,0
Capsule (3),0.0049395,22,15,1,481.5081,0
Capsule (4),1.979978,22,21,1,481.5081,1
Capsule (7),0.0178558,20,19,1,481.5081,1
Capsule (1),3.100095,15,18,0,481.5081,1
Capsule,1.131357,15,20,0,481.5081,1
16


Capsule (2),0.0145928,14,16,0,450.8674,0
Capsule (6),0.0218926,11,17,0,450.8674,0
Capsule (5),0.4665304,20,17,1,450.8674,0
Capsule (3),0.0245584,15,13,1,450.8674,0
Capsule (4),0.7668625,22,17,1,450.8674,1
Capsule (7),0.2561995,17,14,1,450.8674,1
Capsule (1),2.322322,18,23,0,450.8674,1
Capsule,0.0052154,18,18,1,450.8674,1
17


Capsule (2),0.0216394,16,17,0,422.797,0
Capsule (6),1.460274,11,10,1,422.797,0
Capsule (5),0.0082849,13,21,0,422.797,0
Capsule (3),0.0040543,25,18,1,422.797,0
Capsule (4),0.5574203,24,18,1,422.797,1
Capsule (7),3.431635,21,16,1,422.797,1
Capsule (1),0.7231672,13,23,0,422.797,1
Capsule,1.633307,17,17,1,422.797,1
18


Capsule (2),0.0255404,22,18,1,484.6017,0
Capsule (6),4.527473,18,15,1,484.6017,0
Capsule (5),0.017979,14,18,0,484.6017,0
Capsule (3),3.757775,21,27,0,484.6017,0
Capsule (4),17.73843,14,14,1,484.6017,1
Capsule (7),0.0118385,21,12,1,484.6017,1
Capsule (1),1.895496,15,18,0,484.6017,1
Capsule,0.2155617,18,21,0,484.6017,1
19


Capsule (2),3.503966,10,15,0,467.7257,0
Capsule (6),1.719792,18,16,1,467.7257,0
Capsule (5),1.349195,15,14,1,467.7257,0
Capsule (3),2.900969,18,19,0,467.7257,0
Capsule (4),1.228653,24,19,1,467.7257,1
Capsule (7),1.463901,12,13,0,467.7257,1
Capsule (1),3.781213,21,20,1,467.7257,1
Capsule,0.0590953,18,20,0,467.7257,1
20


Capsule (2),4.267123,14,16,0,476.7453,0
Capsule (6),14.63881,18,17,1,476.7453,0
Capsule (5),0.0067483,15,16,0,476.7453,0
Capsule (3),4.137884,17,21,0,476.7453,0
Capsule (4),2.107337,21,18,1,476.7453,1
Capsule (7),0.0109803,23,18,1,476.7453,1
Capsule (1),2.445456,22,14,1,476.7453,1
Capsule,0.131373,9,19,0,476.7453,1
21


Capsule (2),3.235107,15,14,1,475.066,0
Capsule (6),0.7388867,17,16,1,475.066,0
Capsule (5),0.2204064,15,18,0,475.066,0
Capsule (3),3.019576,21,15,1,475.066,0
Capsule (4),3.419563,17,20,0,475.066,1
Capsule (7),0.6181429,13,20,0,475.066,1
Capsule (1),0.113319,25,19,1,475.066,1
Capsule,0.2182491,20,21,0,475.066,1
22


Capsule (2),2.51057,11,17,0,456.89,0
Capsule (6),1.021153,18,19,0,456.89,0
Capsule (5),4.122244,19,14,1,456.89,0
Capsule (3),0.420408,15,19,0,456.89,0
Capsule (4),4.381703,14,19,0,456.89,1
Capsule (7),1.947756,14,13,1,456.89,1
Capsule (1),17.02448,25,16,1,456.89,1
Capsule,0.4921516,22,21,1,456.89,1
23


Capsule (2),0.017909,17,19,0,463.6949,0
Capsule (6),0.3089166,18,18,1,463.6949,0
Capsule (5),2.468289,18,17,1,463.6949,0
Capsule (3),1.031506,17,15,1,463.6949,0
Capsule (4),0.0119101,20,20,1,463.6949,1
Capsule (7),4.764673,16,24,0,463.6949,1
Capsule (1),0.2225085,20,15,1,463.6949,1
Capsule,3.86648,19,17,1,463.6949,1
24


Capsule (2),5.776204,18,13,1,421.9038,0
Capsule (6),0.3903776,21,13,1,421.9038,0
Capsule (5),1.025654,20,13,1,421.9038,0
Capsule (3),0.0592273,16,11,1,421.9038,0
Capsule (4),5.177863,7,16,0,421.9038,1
Capsule (7),0.0170568,14,19,0,421.9038,1
Capsule (1),1.701456,15,12,1,421.9038,1
Capsule,1.411692,6,20,0,421.9038,1
25


Capsule (1),3.23703,24,16,1,465.2754,0
Capsule (4),0.8254263,20,17,1,465.2754,0
Capsule (7),0.3600118,13,21,0,465.2754,0
Capsule (2),0.3371275,18,26,0,465.2754,0
Capsule (3),1.208071,19,17,1,465.2754,1
Capsule,0.0310474,15,16,0,465.2754,1
Capsule (6),0.0912836,14,13,1,465.2754,1
Capsule (5),0.2131409,22,19,1,465.2754,1
26


Capsule (6),0.0175384,15,18,0,416.1602,0
Capsule (7),15.75129,13,20,0,416.1602,0
Capsule (5),0.5915104,15,21,0,416.1602,0
Capsule (4),2.811353,20,11,1,416.1602,0
Capsule (2),0.0129967,18,21,0,416.1602,1
Capsule (1),1.64005,15,18,0,416.1602,1
Capsule (3),2.570621,22,16,1,416.1602,1
Capsule,0.0097022,20,13,1,416.1602,1
27


Capsule (6),0.5717492,20,20,1,485.0902,0
Capsule (7),1.803939,16,20,0,485.0902,0
Capsule (5),0.1076241,16,16,1,485.0902,0
Capsule (4),0.0077147,17,19,0,485.0902,0
Capsule (2),0.4147583,14,16,0,485.0902,1
Capsule (1),0.4442119,12,17,0,485.0902,1
Capsule (3),9.275153,29,17,1,485.0902,1
Capsule,0.0089261,20,19,1,485.0902,1
28


Capsule (6),10.43583,15,22,0,424.7415,0
Capsule (7),0.414331,12,20,0,424.7415,0
Capsule (5),4.451456,16,15,1,424.7415,0
Capsule (4),1.143373,15,15,1,424.7415,0
Capsule (2),1.603974,20,18,1,424.7415,1
Capsule (1),0.3229998,23,13,1,424.7415,1
Capsule (3),1.806527,20,14,1,424.7415,1
Capsule,0.2151483,12,16,0,424.7415,1
29
